,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,,World,"164,622,482","+345,560","3,411,065","+6,937","144,706,048","+521,502","16,505,369","101,162","21,120",437.6,,,,All,"
",,,,,
135,135,Guyana,"15,352",,344 ,,"13,085",,"1,923",15,"19,436",436,"137,730","174,369","789,875 ",South America,51,"2,296",6,,,"2,435"
136,136,Somalia,"14,486",,753 ,,"6,325",,"7,408",,890,46,"120,132","7,380","16,278,398 ",Africa,"1,124","21,618",136,,,455
137,137,Papua New Guinea,"14,206",+278,136 ,,"11,336",+302,"2,734",,"1,562",15,"110,286","12,126","9,094,720 ",Australia/Oceania,640,"66,873",82,31,,301
138,138,Mali,"14,194",,511 ,,"9,290",,"4,393",,684,25,"284,837","13,722","20,757,350 ",Africa,"1,462","40,621",73,,,212
139,139,Andorra,"13,569",+14,127 ,,"13,234",+23,208,12,"175,371","1,641","193,595","2,502,100","77,373 ",Europe,6,609,0,181,,"2,688"
140,140,Haiti,"13,460",,271 ,,"12,435",,754,,"1,168",24,"60,085","5,214","11,523,943 ",North America,856,"42,524",192,,,65
141,141,Burkina Faso,"13,397",,164 ,,"13,199",,34,,626,8,"184,102","8,602","21,401,270 ",Africa,"1,597","130,496",116,,,2
142,143,Togo,"13,279",,125 ,,"11,901",,"1,253",,"1,572",15,"323,813","38,332","8,447,543 ",Africa,636,"67,580",26,,,148
143,144,Belize,"12,742",,323 ,,"12,342",,77,1,"31,546",800,"126,061","312,094","403,920 ",North America,32,"1,251",3,,,191
144,145,Curaçao,"12,256",,120 ,,"12,069",,67,18,"74,423",729,"104,049","631,822","164,681 ",North America,13,"1,372",2,,,407
